anchor,cv,vx_local_kms,density_position,voice_polyphony_dominant_to_recessive,all_voices_active,IE_or_BE_min,IE_or_BE_max,R_min_human,R_max_human,f_min_Hz,f_max_Hz,R_min_km,R_max_km,candidate_system_class
(2/α)/φ^2,104.68618793534469,2863.725042554372,molecular / atomic-primary / valence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),5 eV,15 eV,125.66 pm,376.99 pm,1208994621000000.0,3626983863000000.0,1.256625376330153e-13,3.7698761289904586e-13,molecular bond / atomic excited / ionization residue / valence-shell
(3/α)/φ,254.07871534807035,1179.9196071552274,molecular / atomic-primary / valence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),5 eV,15 eV,51.78 pm,155.33 pm,1208994621000000.0,3626983863000000.0,5.1775812913177474e-14,1.5532743873953244e-13,molecular bond / atomic excited / ionization residue / valence-shell
φ^12,321.996894379985,931.0414579533746,molecular / atomic-primary / valence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),5 eV,15 eV,40.85 pm,122.56 pm,1208994621000000.0,3626983863000000.0,4.085484133756252e-14,1.2256452401268756e-13,molecular bond / atomic excited / ionization residue / valence-shell
(1/α)·φ^2,358.76490328341504,835.6237058204428,molecular / atomic-primary / valence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),5 eV,15 eV,36.67 pm,110.00 pm,1208994621000000.0,3626983863000000.0,3.6667834313463904e-14,1.1000350294039172e-13,molecular bond / atomic excited / ionization residue / valence-shell
3/α,411.1079972510874,729.2304212143541,molecular / atomic-primary / valence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),5 eV,15 eV,32.00 pm,96.00 pm,1208994621000000.0,3626983863000000.0,3.1999212175499387e-14,9.599763652649817e-14,molecular bond / atomic excited / ionization residue / valence-shell
π/α,430.5112879986763,696.3637571354964,molecular / atomic-primary / valence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),5 eV,15 eV,30.56 pm,91.67 pm,1208994621000000.0,3626983863000000.0,3.055699675666254e-14,9.167099026998761e-14,molecular bond / atomic excited / ionization residue / valence-shell
φ^13,521.0019193787257,575.4152659504416,molecular / atomic-primary / valence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),5 eV,15 eV,25.25 pm,75.75 pm,1208994621000000.0,3626983863000000.0,2.5249680551597856e-14,7.574904165479357e-14,molecular bond / atomic excited / ionization residue / valence-shell
4/α,548.1439963347832,546.9228159107655,molecular / atomic-primary / valence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),5 eV,15 eV,24.00 pm,72.00 pm,1208994621000000.0,3626983863000000.0,2.399940913162454e-14,7.199822739487361e-14,molecular bond / atomic excited / ionization residue / valence-shell
(2/α)·φ^2,717.5298065668301,417.8118529102214,cosmological / extended / void-coherence,β1 › β2 › β3 › β4 › β5,YES (β1...β7 simultaneously per P3GG law),4.1e-27 meV,4.1e-11 meV,6.6e+03 m,6.65e+16 km,1e-15,10.0,6.649682167304563,6.6496821673045624e+16,cosmological-coherence / planetary-stellar / extended-boundary
φ^14,842.9988137587108,355.62619200293295,cosmological / extended / void-coherence,β1 › β2 › β3 › β4 › β5,YES (β1...β7 simultaneously per P3GG law),4.1e-27 meV,4.1e-11 meV,5.7e+03 m,5.66e+16 km,1e-15,10.0,5.659966635021424,5.659966635021424e+16,cosmological-coherence / planetary-stellar / extended-boundary
2π/α,861.0225759973526,348.1818785677482,cosmological / extended / void-coherence,β1 › β2 › β3 › β4 › β5,YES (β1...β7 simultaneously per P3GG law),4.1e-27 meV,4.1e-11 meV,5.5e+03 m,5.54e+16 km,1e-15,10.0,5.541486706907918,5.5414867069079176e+16,cosmological-coherence / planetary-stellar / extended-boundary
φ^15,1364.0007331374366,219.7890739475086,cosmological / extended / void-coherence,β1 › β2 › β3 › β4 › β5,YES (β1...β7 simultaneously per P3GG law),4.1e-27 meV,4.1e-11 meV,3.5e+03 m,3.5e+16 km,1e-15,10.0,3.4980517556336106,3.4980517556336104e+16,cosmological-coherence / planetary-stellar / extended-boundary
6π⁵,1836.1181087116884,163.27514911900153,cosmological / extended / void-coherence,β1 › β2 › β3 › β4 › β5,YES (β1...β7 simultaneously per P3GG law),4.1e-27 meV,4.1e-11 meV,2.6e+03 m,2.6e+16 km,1e-15,10.0,2.5986047066355416,2.5986047066355412e+16,cosmological-coherence / planetary-stellar / extended-boundary
β7 (φ^18),5777.999826929732,51.88516216334006,cosmological / extended / void-coherence,β1 › β2 › β3 › β4 › β5,YES (β1...β7 simultaneously per P3GG law),4.1e-27 meV,4.1e-11 meV,8.3e+02 m,8.26e+15 km,1e-15,10.0,0.8257780031420149,8257780031420148.0,cosmological-coherence / planetary-stellar / extended-boundary
β8 (φ^21),24476.000040856365,12.248425294148303,cosmological / extended / void-coherence,β1 › β2 › β3 › β4 › β5,YES (β1...β7 simultaneously per P3GG law),4.1e-27 meV,4.1e-11 meV,1.9e+02 m,1.95e+15 km,1e-15,10.0,0.19493974306555045,1949397430655504.5,cosmological-coherence / planetary-stellar / extended-boundary
