Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Neodymium (Nd Z=60),Map:     f+R->vx,vx_kms,2.01e-13,1.33594e+15,1687.18,1.33594e+15,4.19698e+15,1.33594e+15,2.01e-13,6.3146e-13,2.01e-13,1687.18,537.048,1687.18,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=60 cov=201pm IE=5.5250eV geo=measured
Promethium (Pm Z=61),Map:     f+R->vx,vx_kms,1.99e-13,1.34972e+15,1687.63,1.34972e+15,4.24028e+15,1.34972e+15,1.99e-13,6.25177e-13,1.99e-13,1687.63,537.189,1687.63,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=61 cov=199pm IE=5.582eV geo=measured
Samarium (Sm Z=62),Map:     f+R->vx,vx_kms,1.98e-13,1.36464e+15,1697.71,1.36464e+15,4.28714e+15,1.36464e+15,1.98e-13,6.22035e-13,1.98e-13,1697.71,540.398,1697.71,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=62 cov=198pm IE=5.6437eV geo=measured
Europium (Eu Z=63),Map:     f+R->vx,vx_kms,1.98e-13,1.3711e+15,1705.74,1.3711e+15,4.30743e+15,1.3711e+15,1.98e-13,6.22035e-13,1.98e-13,1705.74,542.954,1705.74,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=63 cov=198pm IE=5.6704eV geo=measured
Gadolinium (Gd Z=64),Map:     f+R->vx,vx_kms,1.96e-13,1.48702e+15,1831.27,1.48702e+15,4.6716e+15,1.48702e+15,1.96e-13,6.15752e-13,1.96e-13,1831.27,582.91,1831.27,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=64 cov=196pm IE=6.1498eV geo=measured
Terbium (Tb Z=65),Map:     f+R->vx,vx_kms,1.94e-13,1.41786e+15,1728.28,1.41786e+15,4.45434e+15,1.41786e+15,1.94e-13,6.09469e-13,1.94e-13,1728.28,550.13,1728.28,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=65 cov=194pm IE=5.8638eV geo=measured
Dysprosium (Dy Z=66),Map:     f+R->vx,vx_kms,1.92e-13,1.43602e+15,1732.37,1.43602e+15,4.51139e+15,1.43602e+15,1.92e-13,6.03186e-13,1.92e-13,1732.37,551.432,1732.37,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=66 cov=192pm IE=5.9389eV geo=measured
Holmium (Ho Z=67),Map:     f+R->vx,vx_kms,1.92e-13,1.45599e+15,1756.47,1.45599e+15,4.57413e+15,1.45599e+15,1.92e-13,6.03186e-13,1.92e-13,1756.47,559.101,1756.47,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=67 cov=192pm IE=6.0215eV geo=measured
Erbium (Er Z=68),Map:     f+R->vx,vx_kms,1.89e-13,1.47684e+15,1753.77,1.47684e+15,4.63961e+15,1.47684e+15,1.89e-13,5.93761e-13,1.89e-13,1753.77,558.244,1753.77,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=68 cov=189pm IE=6.1077eV geo=measured
Thulium (Tm Z=69),Map:     f+R->vx,vx_kms,1.9e-13,1.49536e+15,1785.17,1.49536e+15,4.6978e+15,1.49536e+15,1.9e-13,5.96903e-13,1.9e-13,1785.17,568.236,1785.17,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=69 cov=190pm IE=6.1843eV geo=measured
Ytterbium (Yb Z=70),Map:     f+R->vx,vx_kms,1.87e-13,1.51226e+15,1776.84,1.51226e+15,4.7509e+15,1.51226e+15,1.87e-13,5.87478e-13,1.87e-13,1776.84,565.585,1776.84,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=70 cov=187pm IE=6.2542eV geo=measured
Lutetium (Lu Z=71),Map:     f+R->vx,vx_kms,1.87e-13,1.31198e+15,1541.51,1.31198e+15,4.1217e+15,1.31198e+15,1.87e-13,5.87478e-13,1.87e-13,1541.51,490.679,1541.51,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=71 cov=187pm IE=5.4259eV geo=measured
Hafnium (Hf Z=72),Map:     f+R->vx,vx_kms,1.75e-13,1.6503e+15,1814.6,1.6503e+15,5.18458e+15,1.6503e+15,1.75e-13,5.49779e-13,1.75e-13,1814.6,577.606,1814.6,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=72 cov=175pm IE=6.8251eV geo=measured
Tantalum (Ta Z=73),Map:     f+R->vx,vx_kms,1.7e-13,1.82549e+15,1949.88,1.82549e+15,5.73493e+15,1.82549e+15,1.7e-13,5.34071e-13,1.7e-13,1949.88,620.665,1949.88,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=73 cov=170pm IE=7.5496eV geo=measured
Tungsten (W Z=74),Map:     f+R->vx,vx_kms,1.62e-13,1.90151e+15,1935.5,1.90151e+15,5.97376e+15,1.90151e+15,1.62e-13,5.08938e-13,1.62e-13,1935.5,616.088,1935.5,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=74 cov=162pm IE=7.8640eV geo=measured
Rhenium (Re Z=75),Map:     f+R->vx,vx_kms,1.51e-13,1.89413e+15,1797.08,1.89413e+15,5.95059e+15,1.89413e+15,1.51e-13,4.7438e-13,1.51e-13,1797.08,572.028,1797.08,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=75 cov=151pm IE=7.8335eV geo=measured
Osmium (Os Z=76),Map:     f+R->vx,vx_kms,1.44e-13,2.04035e+15,1846.06,2.04035e+15,6.40994e+15,2.04035e+15,1.44e-13,4.52389e-13,1.44e-13,1846.06,587.62,1846.06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=76 cov=144pm IE=8.4382eV geo=measured
Iridium (Ir Z=77),Map:     f+R->vx,vx_kms,1.41e-13,2.16821e+15,1920.88,2.16821e+15,6.81164e+15,2.16821e+15,1.41e-13,4.42965e-13,1.41e-13,1920.88,611.435,1920.88,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=77 cov=141pm IE=8.9670eV geo=measured
Platinum (Pt Z=78),Map:     f+R->vx,vx_kms,1.36e-13,2.1662e+15,1851.05,2.1662e+15,6.80533e+15,2.1662e+15,1.36e-13,4.27257e-13,1.36e-13,1851.05,589.207,1851.05,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=78 cov=136pm IE=8.9587eV geo=measured
Gold (Au Z=79),Map:     f+R->vx,vx_kms,1.36e-13,2.23072e+15,1906.18,2.23072e+15,7.008e+15,2.23072e+15,1.36e-13,4.27257e-13,1.36e-13,1906.18,606.755,1906.18,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=79 cov=136pm IE=9.2255eV geo=measured
Mercury (Hg Z=80),Map:     f+R->vx,vx_kms,1.32e-13,2.52378e+15,2093.17,2.52378e+15,7.92868e+15,2.52378e+15,1.32e-13,4.1469e-13,1.32e-13,2093.17,666.277,2093.17,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=80 cov=132pm IE=10.4375eV geo=measured
Thallium (Tl Z=81),Map:     f+R->vx,vx_kms,1.45e-13,1.47696e+15,1345.6,1.47696e+15,4.63999e+15,1.47696e+15,1.45e-13,4.55531e-13,1.45e-13,1345.6,428.317,1345.6,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=81 cov=145pm IE=6.1082eV geo=measured
Lead (Pb Z=82),Map:     f+R->vx,vx_kms,1.46e-13,1.79335e+15,1645.12,1.79335e+15,5.63398e+15,1.79335e+15,1.46e-13,4.58673e-13,1.46e-13,1645.12,523.658,1645.12,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=82 cov=146pm IE=7.4167eV geo=measured
Bismuth (Bi Z=83),Map:     f+R->vx,vx_kms,1.48e-13,1.76165e+15,1638.18,1.76165e+15,5.53439e+15,1.76165e+15,1.48e-13,4.64956e-13,1.48e-13,1638.18,521.448,1638.18,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=83 cov=148pm IE=7.2856eV geo=measured
Polonium (Po Z=84),Map:     f+R->vx,vx_kms,1.4e-13,2.0345e+15,1789.64,2.0345e+15,6.39156e+15,2.0345e+15,1.4e-13,4.39823e-13,1.4e-13,1789.64,569.659,1789.64,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=84 cov=140pm IE=8.414eV geo=measured
Astatine (At Z=85),Map:     f+R->vx,vx_kms,1.5e-13,2.25284e+15,2123.25,2.25284e+15,7.07751e+15,2.25284e+15,1.5e-13,4.71239e-13,1.5e-13,2123.25,675.852,2123.25,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=85 cov=150pm IE=9.317eV geo=measured
Radon (Rn Z=86),Map:     f+R->vx,vx_kms,1.5e-13,2.59898e+15,2449.48,2.59898e+15,8.16492e+15,2.59898e+15,1.5e-13,4.71239e-13,1.5e-13,2449.48,779.693,2449.48,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=86 cov=150pm IE=10.7485eV geo=measured
Francium (Fr Z=87),Map:     f+R->vx,vx_kms,2.6e-13,9.84774e+14,1608.76,9.84774e+14,3.09376e+15,9.84774e+14,2.6e-13,8.16814e-13,2.6e-13,1608.76,512.083,1608.76,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=87 cov=260pm IE=4.0727eV geo=measured
Radium (Ra Z=88),Map:     f+R->vx,vx_kms,2.21e-13,1.27631e+15,1772.27,1.27631e+15,4.00965e+15,1.27631e+15,2.21e-13,6.94292e-13,2.21e-13,1772.27,564.13,1772.27,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=88 cov=221pm IE=5.2784eV geo=measured
Actinium (Ac Z=89),Map:     f+R->vx,vx_kms,2.15e-13,1.2501e+15,1688.74,1.2501e+15,3.92731e+15,1.2501e+15,2.15e-13,6.75442e-13,2.15e-13,1688.74,537.543,1688.74,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=89 cov=215pm IE=5.17eV geo=measured
Thorium (Th Z=90),Map:     f+R->vx,vx_kms,2.06e-13,1.52495e+15,1973.8,1.52495e+15,4.79078e+15,1.52495e+15,2.06e-13,6.47168e-13,2.06e-13,1973.8,628.281,1973.8,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=90 cov=206pm IE=6.3067eV geo=measured
Protactinium (Pa Z=91),Map:     f+R->vx,vx_kms,2e-13,1.4242e+15,1789.7,1.4242e+15,4.47424e+15,1.4242e+15,2e-13,6.28319e-13,2e-13,1789.7,569.678,1789.7,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=91 cov=200pm IE=5.89eV geo=measured
Uranium (U Z=92),Map:     f+R->vx,vx_kms,1.96e-13,1.49773e+15,1844.46,1.49773e+15,4.70525e+15,1.49773e+15,1.96e-13,6.15752e-13,1.96e-13,1844.46,587.109,1844.46,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=92 cov=196pm IE=6.1941eV geo=measured
Neptunium (Np Z=93),Map:     f+R->vx,vx_kms,1.9e-13,1.51504e+15,1808.66,1.51504e+15,4.75964e+15,1.51504e+15,1.9e-13,5.96903e-13,1.9e-13,1808.66,575.715,1808.66,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=93 cov=190pm IE=6.2657eV geo=measured
Plutonium (Pu Z=94),Map:     f+R->vx,vx_kms,1.87e-13,1.45708e+15,1712,1.45708e+15,4.57755e+15,1.45708e+15,1.87e-13,5.87478e-13,1.87e-13,1712,544.948,1712,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=94 cov=187pm IE=6.0260eV geo=measured
Americium (Am Z=95),Map:     f+R->vx,vx_kms,1.8e-13,1.44446e+15,1633.64,1.44446e+15,4.5379e+15,1.44446e+15,1.8e-13,5.65487e-13,1.8e-13,1633.64,520.005,1633.64,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=95 cov=180pm IE=5.9738eV geo=measured
Curium (Cm Z=96),Map:     f+R->vx,vx_kms,1.69e-13,1.44874e+15,1538.35,1.44874e+15,4.55135e+15,1.44874e+15,1.69e-13,5.30929e-13,1.69e-13,1538.35,489.674,1538.35,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=96 cov=169pm IE=5.9915eV geo=measured
Berkelium (Bk Z=97),Map:     f+R->vx,vx_kms,1.68e-13,1.49865e+15,1581.93,1.49865e+15,4.70813e+15,1.49865e+15,1.68e-13,5.27788e-13,1.68e-13,1581.93,503.545,1581.93,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=97 cov=168pm IE=6.1979eV geo=measured
Californium (Cf Z=98),Map:     f+R->vx,vx_kms,1.68e-13,1.51891e+15,1603.32,1.51891e+15,4.77179e+15,1.51891e+15,1.68e-13,5.27788e-13,1.68e-13,1603.32,510.353,1603.32,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=98 cov=168pm IE=6.2817eV geo=measured
Einsteinium (Es Z=99),Map:     f+R->vx,vx_kms,1.65e-13,1.53968e+15,1596.22,1.53968e+15,4.83704e+15,1.53968e+15,1.65e-13,5.18363e-13,1.65e-13,1596.22,508.094,1596.22,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=99 cov=165pm IE=6.3676eV geo=measured
Fermium (Fm Z=100),Map:     f+R->vx,vx_kms,1.67e-13,1.57169e+15,1649.16,1.57169e+15,4.93762e+15,1.57169e+15,1.67e-13,5.24646e-13,1.67e-13,1649.16,524.945,1649.16,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=100 cov=167pm IE=6.50eV geo=measured
Mendelevium (Md Z=101),Map:     f+R->vx,vx_kms,1.73e-13,1.59104e+15,1729.44,1.59104e+15,4.99839e+15,1.59104e+15,1.73e-13,5.43496e-13,1.73e-13,1729.44,550.499,1729.44,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=101 cov=173pm IE=6.58eV geo=measured
Nobelium (No Z=102),Map:     f+R->vx,vx_kms,1.76e-13,1.60796e+15,1778.15,1.60796e+15,5.05156e+15,1.60796e+15,1.76e-13,5.5292e-13,1.76e-13,1778.15,566.003,1778.15,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=102 cov=176pm IE=6.65eV geo=measured
Lawrencium (Lr Z=103),Map:     f+R->vx,vx_kms,1.61e-13,1.19932e+15,1213.23,1.19932e+15,3.76778e+15,1.19932e+15,1.61e-13,5.05796e-13,1.61e-13,1213.23,386.182,1213.23,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=103 cov=161pm IE=4.96eV geo=measured
Rutherfordium (Rf Z=104),Map:     f+R->vx,vx_kms,1.57e-13,1.45563e+15,1435.92,1.45563e+15,4.573e+15,1.45563e+15,1.57e-13,4.9323e-13,1.57e-13,1435.92,457.068,1435.92,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=104 cov=157pm IE=6.02eV geo=theoretical Pyykko2012
Dubnium (Db Z=105),Map:     f+R->vx,vx_kms,1.49e-13,1.64423e+15,1539.32,1.64423e+15,5.16551e+15,1.64423e+15,1.49e-13,4.68097e-13,1.49e-13,1539.32,489.981,1539.32,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=105 cov=149pm IE=6.8eV geo=theoretical Pyykko2012
Seaborgium (Sg Z=106),Map:     f+R->vx,vx_kms,1.43e-13,1.88603e+15,1694.59,1.88603e+15,5.92514e+15,1.88603e+15,1.43e-13,4.49248e-13,1.43e-13,1694.59,539.405,1694.59,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=106 cov=143pm IE=7.8eV geo=theoretical Pyykko2012
Bohrium (Bh Z=107),Map:     f+R->vx,vx_kms,1.41e-13,1.86185e+15,1649.47,1.86185e+15,5.84918e+15,1.86185e+15,1.41e-13,4.42965e-13,1.41e-13,1649.47,525.042,1649.47,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=107 cov=141pm IE=7.7eV geo=theoretical Pyykko2012
Hassium (Hs Z=108),Map:     f+R->vx,vx_kms,1.34e-13,1.83767e+15,1547.22,1.83767e+15,5.77322e+15,1.83767e+15,1.34e-13,4.20973e-13,1.34e-13,1547.22,492.496,1547.22,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=108 cov=134pm IE=7.6eV geo=theoretical Pyykko2012
Meitnerium (Mt Z=109),Map:     f+R->vx,vx_kms,1.29e-13,2.10365e+15,1705.07,2.10365e+15,6.60881e+15,2.10365e+15,1.29e-13,4.05265e-13,1.29e-13,1705.07,542.742,1705.07,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=109 cov=129pm IE=8.7eV geo=theoretical Pyykko2012
Darmstadtium (Ds Z=110),Map:     f+R->vx,vx_kms,1.28e-13,2.24873e+15,1808.54,2.24873e+15,7.06459e+15,2.24873e+15,1.28e-13,4.02124e-13,1.28e-13,1808.54,575.675,1808.54,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=110 cov=128pm IE=9.3eV geo=theoretical Pyykko2012
Roentgenium (Rg Z=111),Map:     f+R->vx,vx_kms,1.21e-13,2.56307e+15,1948.61,2.56307e+15,8.05212e+15,2.56307e+15,1.21e-13,3.80133e-13,1.21e-13,1948.61,620.263,1948.61,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=111 cov=121pm IE=10.6eV geo=theoretical Pyykko2012
Copernicium (Cn Z=112),Map:     f+R->vx,vx_kms,1.22e-13,2.90159e+15,2224.21,2.90159e+15,9.1156e+15,2.90159e+15,1.22e-13,3.83274e-13,1.22e-13,2224.21,707.987,2224.21,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=112 cov=122pm IE=12.0eV geo=theoretical Pyykko2012
Nihonium (Nh Z=113),Map:     f+R->vx,vx_kms,1.36e-13,1.76513e+15,1508.33,1.76513e+15,5.54533e+15,1.76513e+15,1.36e-13,4.27257e-13,1.36e-13,1508.33,480.116,1508.33,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=113 cov=136pm IE=7.3eV geo=theoretical Pyykko2012
Flerovium (Fl Z=114),Map:     f+R->vx,vx_kms,1.43e-13,2.07947e+15,1868.4,2.07947e+15,6.53285e+15,2.07947e+15,1.43e-13,4.49248e-13,1.43e-13,1868.4,594.729,1868.4,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=114 cov=143pm IE=8.6eV geo=theoretical Pyykko2012
Moscovium (Mc Z=115),Map:     f+R->vx,vx_kms,1.62e-13,1.40243e+15,1427.5,1.40243e+15,4.40588e+15,1.40243e+15,1.62e-13,5.08938e-13,1.62e-13,1427.5,454.389,1427.5,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=115 cov=162pm IE=5.8eV geo=theoretical Pyykko2012
Livermorium (Lv Z=116),Map:     f+R->vx,vx_kms,1.75e-13,1.74095e+15,1914.28,1.74095e+15,5.46936e+15,1.74095e+15,1.75e-13,5.49779e-13,1.75e-13,1914.28,609.333,1914.28,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=116 cov=175pm IE=7.2eV geo=theoretical Pyykko2012
Tennessine (Ts Z=117),Map:     f+R->vx,vx_kms,1.65e-13,1.86185e+15,1930.23,1.86185e+15,5.84918e+15,1.86185e+15,1.65e-13,5.18363e-13,1.65e-13,1930.23,614.411,1930.23,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=117 cov=165pm IE=7.7eV geo=theoretical Pyykko2012
Oganesson (Og Z=118),Map:     f+R->vx,vx_kms,1.57e-13,2.15201e+15,2122.87,2.15201e+15,6.76074e+15,2.15201e+15,1.57e-13,4.9323e-13,1.57e-13,2122.87,675.731,2122.87,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1+G1,Z=118 cov=157pm IE=8.9eV geo=theoretical Pyykko2012
Hydrogen-1 (Z=1 A=1),Map:     f+R->vx,vx_kms,8.783e-19,2.26873e+23,1.252e+06,2.26873e+23,7.12743e+23,2.26873e+23,8.783e-19,2.75926e-18,8.783e-19,1.252e+06,398525,1.252e+06,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=1 A=1 Rc=0.8783fm BE=938.272MeV src=Angeli2013
