index,pdb_id,uniprot_id,cds_status,included_pdb4,n_residues_with_codon,n_aa_classes,exclusion_reason,cif_downloaded,cif_size_bytes,cif_sha256
236,9WFO,P00740,available,yes,17,10,included,yes,642700,cc55d07dad19712c7fe2cda3beb006567340aacc4d38719bdedac61ce585797c
237,9WNV,P02754,available,yes,11,9,included,yes,367189,b2df32c7d077e4d843b10ee86599b4521e04d4ff3d45adaae427f7661ec69c0c
238,9WNW,P02754,available,yes,10,8,included,yes,380091,e4c3c761e87eb3a9ba6f5d440290f8dd1bfda3f09f722f43d029b102e25f5576
239,9WNX,P02754,available,yes,11,9,included,yes,346042,90d01782a416af0e8f8c4e9154e1fd4bbf1583ee71122311cbac64a568de6767
240,9WNY,G8TV28,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
241,9WNZ,G8TV28,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
242,9WV5,Q8NET8,available,yes,116,4,included,yes,2045727,403dacf748cbff3162461fdbd9514e0abee9b96f07b27032e3933ba69c35a85e
243,9WV6,Q8NET8,available,yes,116,4,included,yes,2184680,e5cda7cc36fb671e14281fbb84c59c6b044f975f86eb7c0703da6dd6eb166ef2
244,9WV7,Q8NET8,available,yes,116,4,included,yes,2165564,0695bcb410177f820c648ea655ff10344c69494afbe1e7f6d6923ddd6b7214cd
245,9X0B,Q9SCX5,available,yes,116,4,included,yes,1420529,ed61b24572796df99167e4a586427d1bc606f267e930f919431e79599cb8739f
246,9X0C,Q9SCX5,available,yes,124,4,included,yes,1571583,06fec79e99fd47a9da632ea850d0fb516a6151418a2a94070d96c25afdd3981e
247,9X4F,P06733,available,yes,68,10,included,yes,1414026,4a6ddc240ec74316a5f0b199b794132caebeb9bebdb222f814991e2dfc03d99e
248,9X64,Q9UBT3,available,yes,1,1,included,yes,258691,3f92f04383b459d5050482f883eac7773ace63f3a7066c94358efe60bbb3c3c0
249,9XGB,Q9NR09,available,yes,68,17,included,yes,1124108,12ae10508fbd9b6e449e93882d2a4eb669585b718b4730da925ceab46115c242
250,9XGC,Q9NR09,available,yes,72,17,included,yes,1182414,5da4cc5963a9b4c512c93bf2e8daad6611bc1c8ac79ef89e262c6754284593be
251,9XJD,Q809S5,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
252,9XMR,A0A143Y239,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
253,9XNL,A0A144LKL4,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
254,9XOR,,no_uniprot,no,0,0,no UniProt linkage,no,0,
255,9XPQ,,no_uniprot,no,0,0,no UniProt linkage,no,0,
256,9XPR,,no_uniprot,no,0,0,no UniProt linkage,no,0,
257,9XPU,,no_uniprot,no,0,0,no UniProt linkage,no,0,
258,9XQ6,,no_uniprot,no,0,0,no UniProt linkage,no,0,
259,9XQ7,,no_uniprot,no,0,0,no UniProt linkage,no,0,
260,9XQL,,no_uniprot,no,0,0,no UniProt linkage,no,0,
261,9XRA,,no_uniprot,no,0,0,no UniProt linkage,no,0,
262,9XRB,,no_uniprot,no,0,0,no UniProt linkage,no,0,
263,9Y56,Q06187,available,yes,25,4,included,yes,374347,eacfdd37056b7b999184911964205f037bc45a1da3bc35df97de10376c846634
264,9Y57,Q06187,available,yes,25,4,included,yes,380348,4972a55d1f460b40929560307842bb08dad59958f15cfd99bf2e844e928ff2a0
265,9Y58,P03407,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
266,9Y5A,Q06187,available,yes,20,4,included,yes,386942,388849f6c09d1af53d2ba126370330a9331ae743c1469b9e732da2608c8af4dd
267,9Y5B,Q06187,available,yes,25,4,included,yes,323673,9d6590fe0294cec4ea43019266a336b422f2af5247849cea0259c29fab427b33
268,9Y5D,Q06187,available,yes,18,4,included,yes,369537,ac2e3a8e16e0ba9057fccaf3bf628cd5957a46dce5f57c441d683920e67b9d35
269,9Y5E,Q06187,available,yes,25,4,included,yes,318971,babdb7670c313b32e9399a7867825adc9d7fa9da6afbace9eea3ce4cdf1ed7ee
270,9Y60,O96028,available,yes,14,2,included,yes,456917,4b553c812e162e925df06f6e4d5e33264f8adb59f5d92b6cf07608e3cad4751f
271,9Y61,O96028,available,yes,26,11,included,yes,457496,b68558412207ff82db6a055b5354343f64a77fd5d59ee6a39853175df70dd947
272,9YCF,P12568,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
273,9YJI,P0DTC2,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
274,9YJJ,A0A0U2MN53,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
275,9YJK,A0A0U2MN53,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
276,9YNL,,no_uniprot,no,0,0,no UniProt linkage,no,0,
277,9YNM,,no_uniprot,no,0,0,no UniProt linkage,no,0,
278,9YT9,Q06187,available,yes,19,4,included,yes,481552,9339da400d5d1aada360b614ce784f7923914511f17eccf9a24bd87322ee1502
279,9YVX,,no_uniprot,no,0,0,no UniProt linkage,no,0,
280,9YVY,,no_uniprot,no,0,0,no UniProt linkage,no,0,
281,9YVZ,,no_uniprot,no,0,0,no UniProt linkage,no,0,
282,9YYG,,no_uniprot,no,0,0,no UniProt linkage,no,0,
283,9YYH,,no_uniprot,no,0,0,no UniProt linkage,no,0,
284,9Z4I,Q6AXS0,available,yes,32,4,included,yes,438294,c823b9a27dffb91001632a7b05177ee26db254a636c2e0ba53667caf1904f9a5
285,9Z4J,Q6AXS0,available,yes,87,4,included,yes,1164245,0631852aed7ca21638801880a8719538bc582b57c481c96f3a573236f4ab37e2
286,9Z7Q,A0A7G1H3Q2,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
287,9Z7V,A0A7G1H3Q2,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
288,9Z7X,A0A7G1H3Q2,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
289,9ZQ7,Q70Z35,available,yes,79,4,included,yes,1723463,66693531b55337472527c682b781a519d4ff535551faa898cd4fc80f6563457f
290,9ZQV,Q06187,available,yes,23,4,included,yes,561417,0a83150b93fa6195554029f542bfe532701597725ca3579ee94765399c7e0091
291,9ZY0,Q9YTT9,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
292,9ZY1,Q9YTT9,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
293,9ZYS,A0AAE8B1C9,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),yes,1895887,3e7002ae2b8b0a74506251839510a581961b4d4a5bd129148622af74fefb6251
